listing_id,high,medium,low
7142618,0.029355977,0.258007867,0.7126361605
6922984,0.05326507,0.248467257,0.6982676675
6860805,0.029355977,0.258007867,0.7126361605
7113840,0.166328006,0.41874442,0.414927581
6843735,0.0017290915,0.0621764085,0.9360945025
7098659,0.0322750785,0.044364674,0.9233602455
7209423,0.0260963455,0.0741291875,0.89977447
7099874,0.0142135205,0.159227789,0.826558697
7098442,0.024528295,0.1069422855,0.868529414
7225900,0.0028308205,0.020982061,0.9761871185
7170692,0.0025657755,0.0251772685,0.972256963
7226712,0.0022613565,0.0121780785,0.985560572
7210643,0.0080559605,0.0311789655,0.9607650705
7232655,0.013311278,0.0507487645,0.935939955
7098880,0.001385716,0.011342613,0.9872716695
6849183,0.0165208715,0.2253196935,0.7581594395
7099119,0.005726352,0.025339962,0.968933683
7200523,0.0051067855,0.066143121,0.928750092
7171562,0.0020014475,0.0243315275,0.9736670285
7226762,0.0003263215,0.014170194,0.9855034825
7226918,0.0024150085,0.0221588155,0.9754261705
7226063,0.0006207815,0.0075716475,0.991807571
7099838,0.025864584,0.074954791,0.8991806205
7211824,0.010862286,0.0201355465,0.9690021675
7225802,0.005629292,0.040866589,0.9535041235
7201315,0.0417437345,0.191022686,0.767233581
6885109,0.012088744,0.182785985,0.805125267
7200437,0.033765216,0.2387414325,0.7274933485
7160363,0.005799237,0.0143700465,0.979830722
7226430,0.0312704305,0.141455246,0.827274328
7099425,0.0217739,0.277951924,0.7002741775
7201348,0.003397203,0.023886286,0.972716506
7160101,0.0126547255,0.1205182735,0.8668270005
7170127,0.0216454935,0.0868995065,0.8914550035
7159392,0.0044655845,0.0171089195,0.9784255095
7210928,0.0017104935,0.01333268,0.984956808
7092529,0.0793394225,0.339239142,0.581421431
6887689,0.0084315375,0.169260414,0.8223080485
7169834,0.0130122845,0.1251238605,0.8618638575
7210881,0.000609088,0.0117895785,0.9876013225
7211726,0.0251940195,0.2194167265,0.7553892515
7210201,0.07906918,0.3550271105,0.565903716
7200917,0.02753523,0.0625389185,0.909925852
7173759,0.023789079,0.0123609645,0.963849966
7170660,0.0014071945,0.0080960975,0.9904967005
7226076,0.0490460685,0.2172191415,0.7337347875
7226839,0.029568122,0.1095120645,0.860919817
7170691,0.054981705,0.326219066,0.6187992305
6922966,0.0140696275,0.217585382,0.768344994
7226846,0.009414001,0.081915327,0.908670674
7226264,0.009153952,0.018080906,0.9727651425
7211497,0.004705491,0.031661611,0.963632899
7210744,0.080601873,0.3915051115,0.5278930155
7210499,0.0028204325,0.0240329815,0.973146584
7099165,0.080601873,0.3915051115,0.5278930155
7227103,0.062941713,0.2023232615,0.7347350285
7226540,0.029103601,0.14839139,0.822505013
7172514,0.0790692225,0.3550276295,0.5659031495
7209584,0.0034400195,0.031114383,0.9654456015
6932283,0.0163769735,0.192810239,0.7908127895
7098566,0.013537554,0.130000938,0.856461509
7210872,0.0060645615,0.031216547,0.9627188925
7200321,0.0394047045,0.086384885,0.874210416
7099101,0.025257262,0.0759451935,0.8987975425
7159576,0.003527035,0.0183146425,0.978158324
7200658,0.0013813065,0.0117591525,0.986859548
7159000,0.0040049525,0.0142396505,0.981755401
7226177,0.006076532,0.0135753115,0.980348163
7099062,0.0146132905,0.208461812,0.7769248995
7173760,0.017053339,0.065151659,0.917795007
6849380,0.009835483,0.145361269,0.84480325
7159162,0.0050352995,0.079411774,0.9155529325
7099160,0.0025130085,0.046730786,0.9507562035
7178285,0.003597316,0.009676707,0.986725955
7098477,0.026692857,0.115399604,0.8579075395
7171390,0.0041127365,0.009155419,0.9867318405
7209557,0.0024173445,0.015391663,0.982190989
7098961,0.0161528885,0.160859659,0.822987453
7099018,0.002678051,0.0141073975,0.9832145505
7210568,0.0020649285,0.0150220255,0.9829130375
7231575,0.0012879475,0.0148334535,0.983878597
6883047,0.015209767,0.2001354105,0.784654825
7172848,0.0239076825,0.097006846,0.8790854695
7098816,0.007831575,0.0570283855,0.9351400445
7200503,0.020280967,0.068896753,0.91082228
7226513,0.0026072945,0.025559551,0.9718331565
7227037,0.001480292,0.0184965125,0.980023202
7098573,0.003841053,0.013928834,0.9822301105
6968157,0.0017020165,0.0121876565,0.986110324
7002797,0.0068753485,0.0218519065,0.9712727475
7025731,0.077762692,0.4948670325,0.4273702795
7079502,0.0345698055,0.0888110595,0.8766191435
6820888,0.0306569345,0.218443653,0.7508994135
7171469,0.0484075765,0.2952128715,0.6563795505
7026229,0.001337726,0.011843533,0.986818733
7002527,0.0021860005,0.01574073,0.98207327
7002045,0.0009875105,0.073123524,0.9258889845
7038943,0.017496696,0.1365653295,0.845937981
7032547,0.077762692,0.4948670325,0.4273702795
7042693,0.001458454,0.0145281645,0.984013378
7211330,0.002163477,0.015066275,0.9827702475
6967585,0.0152285305,0.208840964,0.7759305005
7071629,0.029115928,0.168684407,0.802199661
6912749,0.1434690265,0.40610934,0.450421639
7071697,0.0065830425,0.0664060045,0.92701095
7079366,0.011254319,0.145021388,0.8437242955
6959138,0.027222454,0.045600674,0.92717686
7002195,0.0006444725,0.009503956,0.989851568
7066721,0.000606827,0.011669625,0.987723567
7039587,0.001622712,0.0208382525,0.9775390305
7060624,0.0290082855,0.1499520455,0.8210396665
7063304,0.002103799,0.0098981605,0.987998018
7047689,0.0005448365,0.0084543225,0.991000855
7030902,0.025864584,0.074954791,0.8991806205
7201545,0.2104766165,0.4136234225,0.3758999595
6889765,0.0301678445,0.222549259,0.7472828955
6959915,0.0048476935,0.0367946035,0.9583577025
7060339,0.0325346135,0.0267756665,0.9406897245
7061467,0.029103936,0.1483916205,0.8225044455
7201450,0.0031717955,0.01872085,0.978107345
7025707,0.04041379,0.174985492,0.784600714
7075976,0.0013786775,0.013084042,0.985537285
7003095,0.0113783345,0.109614847,0.879006814
7026017,0.005584593,0.0229782005,0.9714372055
7046870,0.029115928,0.168684407,0.802199661
7072211,0.000644475,0.009503871,0.9898516555
6931762,0.0886368465,0.4282198325,0.483143322
7060308,0.0023083565,0.0161337315,0.981557911
7209884,0.018664415,0.0749442385,0.906391345
7061109,0.006945668,0.010652576,0.9824017335
7078746,0.002671322,0.0170139085,0.98031477
6968888,0.015672323,0.18589596,0.798431719
7060990,0.05553515,0.257893067,0.6865717855
7209493,0.0412111615,0.2016653475,0.7571234905
7044535,0.011378081,0.109614772,0.879007146
7079105,0.018269004,0.026254615,0.955476374
7030523,0.0118448455,0.1201649735,0.867990183
7224118,0.0198057605,0.2030434935,0.7771507475
7031105,0.049046345,0.2172166485,0.7337370085
6958478,0.0045801505,0.073415401,0.922004449
6971335,0.021865933,0.0461317805,0.932002285
7025122,0.0071187845,0.013990654,0.978890557
7024693,0.0041667195,0.022498479,0.973334793
7033280,0.015672323,0.18589596,0.798431719
7024653,0.007309545,0.011086453,0.981604013
7063390,0.063667041,0.2816419805,0.6546909755
7031713,0.021865933,0.0461317805,0.932002285
